id;cik;ccc;payment_amount;name;email;phone
1;hard Market;90812;40000;Team-oriented;Henri_Mayer86@hotmail.com;478.790.4141 x99915
2;magenta;97182;21736;Handmade Bedfordshire;Noemi.Hills63@hotmail.com;1-877-376-4494
3;Saint;81317;61420;bleeding-edge;Hailee.Hettinger11@gmail.com;(858) 703-9298 x10856
4;systems;84202;77672;cross-media time-frame;Johnny_Hessel@hotmail.com;(519) 397-5671 x7170
5;panel Implementation generating;40902;20702;responsive systematic transmitter;Reyna47@hotmail.com;470.353.3831 x2006
6;Practical overriding;37869;2036;primary;Zane_Gottlieb@gmail.com;1-676-870-3629
7;Computers;75381;43491;hack SCSI;Jazmyne66@gmail.com;1-765-750-5518
8;Functionality Guarani;62662;33452;fuchsia Borders Rustic;Deanna2@hotmail.com;(246) 368-5578
9;rich Concrete Synergized;39803;75804;synthesizing Ghana;Ramona.Koelpin@yahoo.com;1-759-800-5713 x236
10;Multi-layered;69985;92110;ROI Greenland;Hattie_Miller@yahoo.com;(566) 749-0061
